,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
12,174.52,138.91,174.73,197.67,52.81,38.27,106.38,80.9,101.53,68.04,35.62,47.83,0.0,50.01,60.01,45.19,10.42,98.4,123.13,94.58,95.75,97.42,109.28,100.95,167.09,135.99,172.46,99.01,123.48,104.86,94.48,130.15,162.29,124.02,107.26,101.77,141.07,92.19,83.96,67.38,159.59,117.43,156.85,105.19,130.02,69.44,167.86,175.08,186.41,145.63,167.26,99.0,99.54,94.68,116.49,114.05,49.79,76.62,117.58,93.66
13,152.38,116.77,152.59,175.53,61.15,15.58,72.75,83.55,79.39,45.9,14.85,36.21,50.17,0.0,44.22,29.39,44.71,64.77,94.85,60.94,63.95,93.01,99.06,67.32,144.95,113.85,150.32,76.87,101.34,82.72,72.34,96.51,140.15,90.39,85.12,79.63,118.93,70.05,61.82,45.24,137.45,95.29,134.71,83.05,107.88,47.3,145.72,152.94,164.27,123.49,145.12,76.86,77.4,72.54,94.35,91.91,23.63,42.98,95.44,71.52
14,134.4,98.79,134.61,157.55,72.99,31.97,81.44,95.39,61.41,24.64,32.61,39.41,61.65,44.17,0.0,20.95,56.19,90.52,83.01,86.7,103.25,111.91,123.77,93.07,126.97,95.87,132.34,58.89,83.36,64.74,54.36,100.31,122.17,94.18,67.14,61.65,100.95,52.07,43.84,23.98,119.47,77.31,116.73,65.07,89.9,29.32,127.74,134.96,146.29,105.51,127.14,58.88,59.42,54.56,76.37,73.93,32.25,68.74,77.46,53.54
15,141.22,105.61,141.43,164.37,63.7,18.18,86.29,86.1,68.23,30.88,16.57,23.21,45.61,31.96,19.85,0.0,40.15,78.31,89.83,74.49,89.9,102.62,112.75,80.86,133.79,102.69,139.16,65.71,90.17,71.56,61.18,107.12,128.98,101.0,73.95,68.46,107.77,58.89,50.66,30.22,126.29,84.13,123.55,71.89,96.72,36.14,134.56,141.78,153.11,112.33,133.96,65.69,66.23,61.38,83.19,80.75,20.22,56.53,84.27,60.36
16,169.64,134.03,169.85,192.8,58.07,33.4,101.5,89.06,96.65,63.17,30.74,42.95,10.2,45.13,55.14,40.31,0.0,93.53,118.26,89.7,86.7,101.88,107.92,96.08,162.22,131.12,167.59,94.13,118.6,99.99,89.6,125.27,157.41,119.14,102.38,96.89,136.19,87.32,79.08,62.51,154.71,112.56,151.98,100.31,125.14,64.57,162.98,170.21,181.54,140.75,162.38,94.12,94.66,89.81,111.62,109.17,44.91,71.74,112.7,88.78
17,169.8,138.82,170.01,162.18,108.11,64.34,21.2,117.0,105.07,74.72,67.31,85.04,99.24,65.65,93.06,78.23,93.78,0.0,33.56,53.86,78.67,100.25,93.63,38.8,162.37,131.27,167.74,102.55,46.4,106.49,45.84,35.22,122.72,29.1,54.42,68.52,101.51,73.56,84.03,72.65,123.82,106.15,117.29,65.47,105.5,69.51,167.77,135.52,186.33,145.55,167.18,85.38,90.88,96.31,76.93,94.53,71.22,47.47,98.05,95.29
18,139.68,108.7,139.89,135.41,131.12,90.09,35.24,144.18,75.47,66.25,93.06,108.04,124.98,95.67,85.76,89.58,119.52,32.25,0.0,81.05,105.85,127.43,120.82,65.98,132.25,101.15,137.62,72.95,19.63,76.37,35.6,32.55,95.95,29.98,24.3,38.39,74.74,43.44,70.81,64.18,97.05,76.03,90.52,37.35,78.73,60.19,137.65,108.75,156.2,115.42,137.05,55.26,60.76,66.19,50.16,64.4,92.01,74.65,67.93,65.17
19,195.78,160.17,195.99,207.3,104.55,60.78,68.6,69.82,122.79,89.31,63.75,81.48,95.68,62.09,89.5,74.67,90.22,52.42,78.69,0.0,31.49,53.07,46.46,30.08,188.35,157.25,193.72,120.27,91.52,126.13,93.24,81.06,167.85,74.93,99.55,113.64,146.63,113.46,105.22,88.65,168.95,138.7,162.41,112.59,150.62,90.71,189.12,180.65,207.67,166.89,188.52,120.26,120.8,115.95,122.06,135.31,67.66,32.67,138.84,114.92
20,211.55,175.94,211.76,232.21,84.38,75.87,93.51,48.62,138.56,105.07,75.14,96.5,95.73,66.5,104.51,89.68,86.82,77.33,103.6,30.87,0.0,31.33,37.38,54.99,204.12,173.02,209.49,136.04,116.43,141.89,118.15,105.96,192.76,99.84,124.45,138.55,171.54,129.22,120.99,104.41,193.86,154.46,187.32,137.5,167.05,106.47,204.89,205.55,223.44,182.66,204.29,136.02,136.56,131.71,146.96,151.08,83.92,56.55,154.6,130.69
21,218.46,182.85,218.67,241.62,60.13,88.36,114.89,17.35,145.47,111.99,91.33,109.06,98.21,96.21,113.04,102.25,101.77,98.71,124.98,52.25,31.38,0.0,12.54,76.37,211.03,179.93,216.4,142.95,137.81,148.81,138.42,127.34,206.23,121.22,145.83,145.71,185.01,136.14,127.9,111.33,203.53,161.38,200.79,149.13,173.96,113.39,211.8,219.03,230.35,189.57,211.2,142.94,143.48,138.63,160.44,157.99,99.4,77.93,161.52,137.6
22,230.26,194.65,230.47,246.83,71.93,99.29,108.13,29.15,157.27,123.79,100.8,119.99,110.01,100.59,124.84,113.18,107.47,91.95,118.22,45.49,37.08,12.4,0.0,69.61,222.83,191.73,228.2,154.75,131.05,160.61,132.77,120.58,207.38,114.46,139.07,153.17,186.16,147.94,139.7,123.13,208.48,173.18,201.94,152.12,185.76,125.19,223.6,220.17,242.15,201.37,223.0,154.74,155.28,150.43,161.58,169.79,106.17,71.17,173.32,149.4
23,200.39,165.83,200.59,192.76,110.21,66.44,54.06,94.1,128.45,94.96,69.41,87.14,101.33,67.74,95.15,80.33,95.87,37.88,64.15,30.97,55.77,77.35,70.74,0.0,192.96,161.86,198.33,125.93,76.98,131.78,78.7,62.43,153.31,56.3,85.01,99.1,132.09,104.15,110.88,94.3,154.41,136.74,147.87,98.05,136.08,96.36,194.78,166.11,213.33,172.55,194.18,115.97,121.47,121.6,107.52,125.11,73.32,27.33,128.64,120.58
24,16.48,66.62,13.75,130.73,179.79,138.76,156.06,202.18,81.52,118.1,141.73,156.71,173.65,150.96,134.43,138.25,168.19,158.54,129.4,193.49,210.04,218.7,230.56,192.28,0.0,52.18,15.09,83.16,119.75,92.37,128.46,158.85,148.72,156.28,108.62,98.04,127.5,104.87,125.49,117.44,130.59,75.37,143.29,114.65,101.02,110.97,100.91,148.35,119.46,95.49,100.31,87.23,99.76,88.0,93.86,83.62,140.68,175.53,78.17,88.62
25,60.19,30.87,60.4,127.82,149.28,108.26,125.55,171.68,55.44,87.6,111.23,126.21,143.15,120.46,103.92,107.75,137.69,128.04,98.89,162.99,179.54,188.2,200.06,161.77,52.76,0.0,58.13,59.72,89.25,68.92,97.95,128.34,118.22,125.77,78.12,67.54,97.0,74.36,94.98,86.94,100.08,44.86,112.78,84.14,70.51,80.47,98.0,131.01,116.56,72.05,97.41,56.73,69.26,64.55,63.35,53.12,110.17,145.03,47.66,65.17
26,14.09,71.2,14.92,135.23,184.36,143.33,160.63,206.76,86.09,122.67,146.3,161.29,178.23,155.54,139.0,142.83,172.77,163.11,133.97,198.07,214.62,223.28,235.14,196.85,15.45,56.76,0.0,87.74,124.33,96.94,133.03,163.42,153.29,160.85,113.19,102.62,132.08,109.44,130.06,122.01,135.16,79.94,147.86,119.22,105.59,115.54,105.41,152.85,123.97,99.99,104.81,91.81,104.33,92.57,98.43,88.19,145.25,180.11,82.74,93.19
27,91.22,62.3,91.42,121.06,107.51,66.48,90.81,129.91,6.38,45.82,69.45,84.44,101.38,78.69,62.15,65.97,95.92,101.5,72.36,121.21,137.76,146.43,158.29,127.59,83.79,59.38,89.16,0.0,62.71,22.03,63.73,101.81,101.52,99.24,51.58,41.0,80.31,44.88,49.45,45.16,85.81,22.29,96.09,57.61,56.24,38.69,91.25,114.32,109.8,69.02,90.65,18.97,32.05,11.8,49.08,40.27,68.4,103.25,34.18,12.42
28,128.45,97.47,128.65,118.87,133.5,92.48,49.85,155.9,64.24,71.82,95.45,110.43,127.37,104.68,88.14,91.97,121.91,46.85,21.03,95.66,120.46,142.04,135.43,80.59,121.02,89.92,126.39,61.72,0.0,65.14,45.9,47.84,79.42,44.59,26.06,35.78,58.2,44.47,70.92,71.16,80.52,64.8,73.98,40.74,62.19,64.69,126.42,92.21,144.97,103.11,125.82,44.03,50.19,54.96,33.62,52.63,94.39,89.26,56.7,53.93
29,98.61,75.58,98.82,134.35,111.16,70.13,94.46,133.56,25.62,49.47,73.1,88.09,105.03,82.34,65.8,69.63,99.57,105.15,76.01,124.87,141.42,150.08,161.94,131.24,91.18,67.1,96.55,21.72,66.37,0.0,67.38,105.46,105.18,102.89,55.23,44.66,83.96,48.54,47.71,48.81,92.17,41.52,99.74,61.26,62.6,42.34,104.53,117.98,123.09,82.31,103.94,31.06,30.31,10.17,55.44,46.63,72.05,106.91,50.16,12.68
30,136.83,101.88,137.04,141.54,99.87,58.84,32.13,122.27,64.5,35.0,61.81,76.8,93.74,71.05,54.51,58.34,88.28,44.48,34.66,94.2,118.64,138.79,133.61,79.14,129.41,98.31,134.78,61.98,44.33,67.84,0.0,51.0,102.08,44.87,18.78,35.55,80.87,31.94,43.46,32.93,103.18,73.18,96.65,22.87,77.53,28.95,130.83,114.88,149.39,108.6,130.23,52.41,54.97,57.66,56.29,61.56,60.76,82.93,65.08,56.63
31,169.34,138.36,169.54,162.15,140.5,96.73,42.28,146.05,105.13,82.48,99.7,117.43,131.62,98.03,101.99,105.81,126.16,34.61,33.1,82.91,107.72,129.3,122.68,62.92,161.91,130.81,167.28,102.61,46.36,106.03,50.84,0.0,122.69,7.52,53.96,68.05,101.47,73.1,90.94,80.41,123.79,105.69,117.26,67.0,105.47,76.42,167.31,135.49,185.86,145.08,166.71,84.92,90.42,95.85,76.9,94.06,103.6,76.52,97.59,94.82
32,156.51,125.53,156.72,52.61,174.04,133.02,128.04,196.44,104.37,112.36,135.99,150.97,167.91,145.22,128.68,132.51,162.45,125.05,99.23,173.85,198.65,212.96,213.62,158.78,149.08,117.98,154.45,101.85,81.99,105.68,106.73,126.04,0.0,122.78,86.89,76.32,34.93,87.17,111.46,111.7,57.25,96.96,16.41,98.36,89.4,105.23,73.96,25.95,89.97,113.59,75.8,84.16,90.73,95.5,59.78,79.85,134.93,167.45,84.24,94.47
33,165.08,134.1,165.29,157.46,134.56,90.79,36.34,140.11,100.88,76.65,93.76,111.49,125.68,92.09,96.16,99.98,120.22,28.67,28.84,76.97,101.78,123.36,116.74,56.98,157.65,126.55,163.02,98.36,41.68,101.77,45.01,6.13,118.0,0.0,49.7,63.8,96.79,68.84,85.11,74.58,119.1,101.43,112.57,62.75,100.78,70.6,163.05,130.8,181.61,140.83,162.46,80.66,86.16,91.59,72.21,89.81,97.66,70.58,93.33,90.57
34,119.94,88.96,120.15,124.64,115.86,74.84,48.99,138.26,55.73,51.0,77.81,92.79,109.73,87.04,70.51,74.33,104.27,54.21,25.06,103.01,127.81,149.39,142.78,87.95,112.51,81.41,117.88,53.21,27.44,56.63,21.39,54.51,85.19,51.95,0.0,18.65,63.97,22.82,49.83,48.92,86.29,56.29,79.75,16.24,60.63,44.94,117.91,97.98,136.46,95.68,117.31,35.52,41.02,46.45,39.39,44.66,76.76,96.61,48.19,45.43
35,108.84,77.87,109.05,113.71,111.65,70.62,63.28,134.04,44.64,49.96,73.59,88.57,105.51,82.82,66.29,70.11,100.05,65.76,36.62,114.56,139.37,150.56,154.33,99.5,101.42,70.32,106.79,42.12,35.44,45.54,35.68,66.07,74.25,63.5,15.84,0.0,53.04,15.22,49.07,49.3,75.35,45.19,68.82,23.75,49.54,42.83,106.82,87.05,125.37,84.59,106.22,24.42,30.5,35.36,28.46,33.57,72.54,107.39,37.09,34.33
36,135.74,104.76,135.95,73.62,153.27,112.25,107.27,175.67,83.61,91.59,115.22,130.2,147.14,124.45,107.92,111.74,141.68,104.28,78.46,153.08,177.88,192.19,192.85,138.02,128.31,97.21,133.68,81.09,61.22,84.91,85.96,105.27,34.16,102.02,66.12,55.55,0.0,66.4,90.7,90.93,27.54,76.19,28.73,77.59,68.64,84.46,94.97,46.96,110.98,83.88,96.81,63.39,69.96,74.73,39.01,59.08,114.17,146.68,63.47,73.71
37,115.48,81.99,115.69,125.65,98.83,57.81,61.27,121.23,44.61,37.15,60.78,75.76,92.7,70.01,53.47,57.3,87.24,71.23,42.09,112.54,129.09,137.75,149.61,104.97,108.05,76.95,113.42,42.09,43.73,47.94,33.64,71.54,86.19,68.97,20.38,19.7,64.98,0.0,36.25,36.49,85.74,51.83,80.76,13.72,56.17,30.02,110.94,98.99,129.49,88.71,110.34,31.06,23.03,37.76,40.4,40.2,59.72,94.58,43.73,36.74
38,127.45,91.84,127.66,147.81,89.83,48.8,71.5,112.22,53.38,28.14,51.77,66.75,83.69,61.0,44.47,48.29,78.23,83.33,70.83,103.53,120.08,128.74,140.6,109.91,120.02,88.92,125.39,49.48,69.55,48.59,44.42,90.37,108.36,84.24,48.61,47.84,87.14,38.27,0.0,27.48,105.74,69.29,102.92,47.95,76.17,15.38,120.79,121.16,139.34,98.56,120.19,51.05,37.41,38.41,62.57,60.2,50.72,85.57,63.72,37.39
39,119.87,84.25,120.07,143.02,73.91,32.88,61.81,96.31,46.87,2.82,35.85,48.27,67.78,45.09,25.98,29.81,62.32,72.96,63.38,87.61,104.16,112.83,124.69,93.99,112.44,81.34,117.81,44.35,68.82,50.21,34.73,80.68,107.63,74.55,47.51,47.11,86.42,37.54,29.31,0.0,104.94,62.78,102.2,50.53,75.36,14.79,113.2,120.43,131.76,90.98,112.61,44.34,44.88,40.03,61.84,59.4,34.8,69.65,62.92,39.01
40,136.42,101.48,136.62,90.89,164.14,123.12,127.67,186.54,84.28,102.46,126.09,141.07,158.01,135.32,118.78,122.61,152.55,124.67,98.85,173.48,194.4,203.06,213.25,158.41,128.99,97.89,134.36,81.76,81.61,86.72,105.29,125.66,54.56,122.41,85.45,74.88,25.77,81.7,103.73,101.8,0.0,76.86,49.12,91.48,50.36,95.33,70.03,67.35,95.78,56.52,76.63,64.07,76.59,76.54,56.29,59.75,125.03,159.89,64.14,75.52
41,81.26,53.22,81.46,115.42,129.19,88.16,103.67,151.58,25.14,67.5,91.13,106.11,123.05,100.36,83.83,87.65,117.59,106.15,77.0,142.89,159.44,168.1,179.96,139.89,73.83,42.8,79.2,24.93,67.36,44.7,76.07,106.45,94.89,103.89,56.23,45.65,73.67,52.47,72.12,66.84,76.76,0.0,89.46,62.26,47.19,60.37,85.6,107.69,104.16,63.38,85.01,33.26,47.37,34.47,40.03,29.61,90.08,124.93,14.88,35.09
42,150.78,119.8,150.98,59.45,168.31,127.28,122.31,190.71,98.64,106.62,130.25,145.24,162.18,139.49,122.95,126.77,156.72,119.31,93.49,168.11,192.92,207.23,207.88,153.05,143.35,112.25,148.72,96.12,76.25,99.94,101.0,120.3,16.75,117.05,81.16,70.58,29.2,81.43,105.73,105.96,51.51,91.22,0.0,92.62,83.67,99.49,80.8,32.79,96.81,107.86,82.64,78.43,84.99,89.76,54.04,74.11,129.2,161.72,78.5,88.74
43,126.77,95.79,126.97,134.67,113.07,72.04,52.36,135.46,60.56,49.05,75.01,89.99,106.93,84.24,67.71,71.53,101.47,64.71,36.75,114.43,138.87,151.98,153.84,99.36,119.34,88.24,124.71,58.04,40.09,63.46,24.73,66.2,95.21,63.63,14.53,26.56,74.0,15.95,43.73,46.98,96.31,63.12,89.78,0.0,67.46,39.48,124.74,108.01,143.29,102.51,124.14,42.35,38.98,53.28,49.42,51.49,73.96,103.15,55.02,52.25
